ADDRESS,SUBURB,PRICE,BEDROOMS,BATHROOMS,GARAGE,LAND_AREA,FLOOR_AREA,BUILD_YEAR,CBD_DIST,NEAREST_STN,NEAREST_STN_DIST,DATE_SOLD,POSTCODE,LATITUDE,LONGITUDE,NEAREST_SCH,NEAREST_SCH_DIST,NEAREST_SCH_RANK
1 Riverdale Road,Helena Valley,415000,4,2,2,626,154,1994,16600,Midland Station,3800,"12-2018
",6056,-31.916209,116.029513,YOUTH FUTURES COMMUNITY SCHOOL,3.4257768381931966,
1 Robert Street,Dalkeith,1700000,3,2,2,809,210,1964,7800,Loch Street Station,2300,"02-2016
",6009,-31.99276,115.79193,CHRIST CHURCH GRAMMAR SCHOOL,1.6267896108306545,3
1 Robyn Street,Morley,520000,3,1,2,742,293,1964,8100,Maylands Station,5000,"12-2019
",6062,-31.88360862,115.8882252,MORLEY SENIOR HIGH SCHOOL,1.1814149150242979,100
1 ROKER Way,Brabham,344000,3,2,2,323,119,NULL,18100,Guildford Station,9000,"11-2018
",6055,-31.81819146,115.9677547,SWAN VALLEY ANGLICAN COMMUNITY SCHOOL,3.1359064556606566,53
1 Romani Court,Lockridge,400000,4,2,2,418,108,1999,11200,Bassendean Station,2100,"05-2015
",6054,-31.885,115.9474,KIARA COLLEGE,1.4335275227247597,
1 Rosalind Court,Rossmoyne,1110000,4,2,2,877,226,1970,9900,Bull Creek Station,1700,"12-2018
",6148,-32.04082519,115.870132,ROSSMOYNE SENIOR HIGH SCHOOL,0.6062939826684234,16
1 Rose Bay Court,Kallaroo,1150000,4,3,2,868,285,1992,21700,Edgewater Station,4300,"01-2016
",6025,-31.78729,115.7368,ST MARK'S ANGLICAN COMMUNITY SCHOOL,1.3714454229593005,58
1 ROSTRATUS Link,Dayton,480000,3,2,2,395,146,2015,14800,East Guildford Station,3900,"11-2016
",6055,-31.86142468,115.9726678,GOVERNOR STIRLING SENIOR HIGH SCHOOL,3.4189441874976167,130
1 Rothsay Crescent,Menora,915000,3,1,1,745,118,1952,3800,Mount Lawley Station,2500,"04-2016
",6050,-31.9183976,115.8629971,MOUNT LAWLEY SENIOR HIGH SCHOOL,0.7107157941667096,20
1 Rowe Place,Noranda,620000,3,2,2,801,150,2016,8600,Mount Lawley Station,6400,"05-2017
",6062,-31.87743947,115.8802942,MORLEY SENIOR HIGH SCHOOL,0.5225637359935131,100
1 Royal Melbourne Avenue,Connolly,705000,4,2,2,774,211,1990,24400,Joondalup Station,1700,"07-2020
",6027,-31.75275,115.75204,PRENDIVILLE CATHOLIC COLLEGE,1.18822841424473,60
1 Royce Grove,Booragoon,932000,2,1,2,786,205,1982,10400,Bull Creek Station,2500,"10-2020
",6154,-32.04205,115.82814,APPLECROSS SENIOR HIGH SCHOOL,1.5546002465969226,34
1 Ruby Avenue,Langford,482000,4,2,4,749,138,2000,11900,Canning,2300,"05-2015
",6147,-32.03383,115.94082,LANGFORD ISLAMIC COLLEGE,1.403009873635924,85
1 Ruby Court,Mount Richon,589000,5,2,1,1606,202,1987,27900,Armadale Station,1200,"01-2015
",6112,-32.159955,116.0238033,ARMADALE SENIOR HIGH SCHOOL,0.9069222133741923,
1 Rudge Place,Lockridge,320000,3,1,1,475,93,1972,11900,Success Hill Station,1800,"06-2014
",6054,-31.88383025,115.9552588,KIARA COLLEGE,2.0320062207583622,
1 Sabro Lane,Caversham,463000,3,2,2,429,170,NULL,14100,Guildford Station,3600,"12-2016
",6055,-31.86622648,115.9683871,GOVERNOR STIRLING SENIOR HIGH SCHOOL,3.178264123481751,130
1 Salamanca Parkway,Port Kennedy,345000,3,2,2,604,242,NULL,45800,Warnbro Station,3200,"03-2019
",6172,-32.35546,115.76469,WARNBRO COMMUNITY HIGH SCHOOL,1.2192581903739235,
1 Salisbury Road,Beechboro,350000,4,1,1,539,110,1975,11400,Ashfield Station,4600,"01-2017
",6063,-31.87159,115.9329,KIARA COLLEGE,0.6840753228336295,
1 Salmond Way,Bull Creek,802000,4,2,NULL,775,249,1990,10900,Bull Creek Station,807,"10-2017
",6149,-32.0499631,115.8619822,ALL SAINTS' COLLEGE,0.47838290303299985,21
1 Salvin Road,Gwelup,820000,4,2,2,302,205,2011,10400,Stirling Station,2300,"07-2015
",6018,-31.87505528,115.7967669,BALCATTA SENIOR HIGH SCHOOL,1.4627123385987622,135
1 Samos Place,Mindarie,790000,4,2,3,729,329,1995,32400,Clarkson Station,2800,"12-2018
",6030,-31.69037,115.7087,YOUTH FUTURES COMMUNITY SCHOOL,1.058426878460361,
1 Sandalford Drive,Beldon,504000,3,1,1,690,120,1983,21400,Edgewater Station,711,"12-2015
",6027,-31.77478,115.77203,BELRIDGE SECONDARY COLLEGE,0.9695915684992733,102
1 Sandridge Street,Banksia Grove,330000,3,2,2,268,135,NULL,29600,Clarkson Station,6600,"10-2017
",6031,-31.68985631,115.8080169,JOSEPH BANKS SECONDARY COLLEGE,1.4599007766484093,92
1 Sandringham Street,Trigg,1051000,3,2,2,817,145,1972,11900,Stirling Station,4300,"04-2017
",6029,-31.88519996,115.7610159,ST MARY'S ANGLICAN GIRLS' SCHOOL,1.0399975342353611,7
1 Sapium Way,Woodvale,565000,4,2,4,546,204,NULL,18500,Whitfords Station,1400,"04-2019
",6026,-31.79484,115.79616,WOODVALE SECONDARY COLLEGE,0.4816010365970124,77
1 Scarcliffe Way,Carine,1125000,5,3,NULL,980,211,1988,14000,Warwick Station,2800,"11-2017
",6020,-31.85297,115.76803,CARINE SENIOR HIGH SCHOOL,0.7386416604378814,47
1 Scott Street,Kewdale,472000,3,2,2,331,139,2009,8000,Queens Park Station,3500,"08-2017
",6105,-31.97556419,115.9386716,AUSTRALIAN ISLAMIC COLLEGE - KEWDALE,0.7605823264767081,102
1 Seabreeze Avenue,Burns Beach,860000,4,2,2,653,361,NULL,28400,Currambine Station,2800,"06-2020
",6028,-31.72319147,115.7203563,YOUTH FUTURES COMMUNITY SCHOOL,3.5698434919518585,
1 Seaflight Court,Heathridge,560000,5,2,2,904,159,1997,23700,Joondalup Station,1400,"11-2019
",6027,-31.75619,115.76207,BELRIDGE SECONDARY COLLEGE,1.5822397317172547,102
1 Searle Road,Ardross,1390000,6,3,3,527,327,2006,9200,Bull Creek Station,2700,"10-2017
",6153,-32.03168,115.8318,APPLECROSS SENIOR HIGH SCHOOL,0.40239638860056776,34
1 Sedge Link,Atwell,520000,4,2,2,558,255,2004,21900,Cockburn Central Station,2900,"10-2018
",6164,-32.1485618,115.8709936,ATWELL COLLEGE,0.8235373913257277,129
1 Sellenger Avenue,Samson,462000,4,2,2,710,178,1981,14000,Murdoch Station,4700,"05-2011
",6163,-32.06761721,115.8008833,SETON CATHOLIC COLLEGE,0.905789101066374,91
1 Seton Lane,Kinross,550000,4,2,2,725,231,1999,29000,Currambine Station,2200,"01-2017
",6028,-31.71612,115.72981,YOUTH FUTURES COMMUNITY SCHOOL,2.9382355943735607,
1 Shackleton Street,Bassendean,600000,3,2,2,535,131,1923,9600,Bassendean Station,672,"02-2020
",6054,-31.90961,115.94662,CYRIL JACKSON SENIOR CAMPUS,0.537253034757214,
1 Sheppard Way,Marmion,1480000,4,3,2,708,428,1980,15600,Warwick Station,4000,"02-2017
",6020,-31.84399,115.75399,SACRED HEART COLLEGE,1.9769725425842561,19
1 Shiralee Bend,Carramar,650000,4,2,2,631,249,2006,27500,Currambine Station,4700,"03-2017
",6031,-31.71055,115.79688,JOSEPH BANKS SECONDARY COLLEGE,1.321235106892812,92
1 Shoal Court,Coogee,710000,4,2,2,885,182,1990,21200,Cockburn Central Station,8300,"11-2020
",6166,-32.12684,115.77035,PORT SCHOOL,4.93245752951299,
1 Short Street,North Beach,912000,3,1,3,552,70,1973,14000,Warwick Station,4400,"10-2018
",6020,-31.86238,115.75471,ST MARY'S ANGLICAN GIRLS' SCHOOL,1.954761003896615,7
1 Silica Road,Wattle Grove,491000,4,2,2,531,22,NULL,12800,Madding,6200,"06-2016
",6107,-31.99363062,115.9856234,DARLING RANGE SPORTS COLLEGE,3.1086735873099247,137
1 Silky Lane,Wandi,303000,4,1,NULL,437,199,2016,27600,Kwinana Station,4300,"02-2015
",6167,-32.19984019,115.8607572,GILMORE COLLEGE,6.0801531678601135,138
1 Simon Place,City Beach,1450000,3,1,NULL,993,200,1968,9500,Grant Street Station,7000,"11-2019
",6015,-31.92376,115.7645,NEWMAN COLLEGE,2.158594078307251,44
1 Sistina Road,Ashby,450000,4,2,2,598,226,2006,24600,Joondalup Station,3200,"02-2015
",6065,-31.73741,115.79968,WANNEROO SECONDARY COLLEGE,2.7053555562171696,131
1 Skottowe Parkway,Parmelia,272000,3,1,2,680,119,NULL,34100,Wellard Station,911,"11-2016
",6167,-32.25716,115.82251,PETER CARNLEY ANGLICAN COMMUNITY SCHOOL,0.7144777108761272,
1 Skye Lane,Ellenbrook,320000,3,2,2,386,150,2008,23200,East Guildford Station,14200,"04-2020
",6069,-31.76905861,115.9753687,HOLY CROSS COLLEGE,0.47210972849997423,98
1 Smailes Elbow,Brookdale,228750,3,2,2,385,133,2013,28000,Armadale Station,2000,"07-2013
",6112,-32.17057292,116.0057903,ARMADALE SENIOR HIGH SCHOOL,1.2893892871623016,
1 Smitherson Street,Noranda,585000,5,3,6,685,286,1989,9400,Maylands Station,6300,"11-2018
",6062,-31.87154,115.89044,MORLEY SENIOR HIGH SCHOOL,0.6838648953567505,100
1 Smullin Street,Hamilton Hill,470000,3,2,4,448,104,1999,16500,Fremantle Station,4100,"03-2020
",6163,-32.08078,115.77248,PORT SCHOOL,0.5993334759549509,
1 SNOWY RISE,Hammond Park,445000,4,2,2,581,205,2004,23500,Cockburn Central Station,4400,"08-2020
",6164,-32.1635692,115.8484775,ATWELL COLLEGE,2.6336333590718546,129
1 Solly Court,Bull Creek,1300000,6,3,2,847,302,1978,11300,Bull Creek Station,1400,"01-2018
",6149,-32.05328,115.86667,ALL SAINTS' COLLEGE,0.4250922597646744,21
1 Spargo Street,Myaree,765000,4,2,4,437,181,2000,10500,Bull Creek Station,3400,"05-2017
",6154,-32.04014104,115.8187311,MELVILLE SENIOR HIGH SCHOOL,1.4270042033778019,61
1 Spring Hill,Tapping,597000,4,2,2,554,202,2008,26100,Currambine Station,3900,"11-2020
",6065,-31.72506041,115.7913728,JOSEPH BANKS SECONDARY COLLEGE,2.9761883258701167,92
1 Spruce Place,Thornlie,490000,4,2,2,612,230,1997,14900,Thornlie Station,2100,"01-2019
",6108,-32.0647,115.9436,THORNLIE SENIOR HIGH SCHOOL,1.5221663828656011,125
1 Spruce Terrace,Aubin Grove,512888,4,2,4,516,160,2009,24900,Cockburn Central Station,5700,"06-2018
",6164,-32.17607691,115.8595407,ATWELL COLLEGE,3.5989366250437187,129
1 St Fillans Bend,Wanneroo,465000,4,2,2,632,205,2000,19900,Edgewater Station,2800,"12-2019
",6065,-31.77821,115.80773,ALTA-1,0.9556014549509046,
1 St Ives Loop,Kallaroo,2195000,4,4,4,1000,477,2009,21100,Whitfords Station,4300,"03-2016
",6025,-31.79387,115.73713,ST MARK'S ANGLICAN COMMUNITY SCHOOL,0.7473493072078646,58
1 Staniland Street,Orange Grove,899000,4,2,4,17524,324,2012,18200,Madding,3200,"05-2017
",6109,-32.04728719,116.0161648,LUMEN CHRISTI COLLEGE,2.268353490008103,122
1 Stephen Street,Queens Park,480000,3,3,2,305,180,2015,10200,Canning,1100,"03-2016
",6107,-32.0038586,115.9476433,ST NORBERT COLLEGE,0.6907651728253007,42
1 Stitfold Promenade,Salter Point,1300000,4,2,4,542,319,2002,7400,Canning Bridge Station,978,"03-2018
",6152,-32.01832,115.85814,AQUINAS COLLEGE,0.9378442285304996,23
1 Stokesay Street,Orelia,418000,5,2,2,594,209,2006,31100,Kwinana Station,2100,"06-2016
",6167,-32.229927,115.821234,GILMORE COLLEGE,1.107452889188423,138
1 Strathmore Parkway,Ellenbrook,350000,4,2,2,360,183,2006,22800,East Guildford Station,14000,"12-2020
",6069,-31.771121,115.972418,HOLY CROSS COLLEGE,0.25726684910908704,98
1 Strathpine Chase,Landsdale,575000,4,2,2,699,256,2005,15600,Greenwood Station,7600,"12-2019
",6065,-31.81223,115.86368,LANDSDALE CHRISTIAN SCHOOL,0.6894708483052716,
1 Strelley Lane,Carramar,512600,4,2,2,675,227,2002,27900,Currambine Station,3400,"04-2020
",6031,-31.71053,115.78255,JOSEPH BANKS SECONDARY COLLEGE,1.8720399617980397,92
1 Stretton Way,Kenwick,275000,3,1,1,659,90,1972,14800,Kenwick Station,894,"11-2017
",6107,-32.03748,115.97882,REHOBOTH CHRISTIAN COLLEGE,0.6573576810441265,
1 Strickland Court,Coogee,770000,6,2,4,705,268,1988,20000,Cockburn Central Station,7900,"11-2018
",6166,-32.11715,115.77514,PORT SCHOOL,3.8092902670618893,
1 Styne Road,City Beach,1800000,4,2,2,736,230,1974,9700,Grant Street Station,6800,"04-2018
",6015,-31.92540258,115.7613588,NEWMAN COLLEGE,2.4664550186730927,44
1 Success Crescent,Salter Point,1555000,4,2,2,876,363,2002,7700,Canning Bridge Station,1400,"11-2016
",6152,-32.02154,115.85944,AQUINAS COLLEGE,0.5598437933587753,23
1 Sumich Gardens,Coogee,715000,4,2,2,620,204,NULL,19300,Fremantle Station,7000,"09-2015
",6166,-32.10983,115.77297,PORT SCHOOL,3.025173538108212,
1 Swallow Grove,Waikiki,360000,3,1,1,693,121,1992,41400,Warnbro Station,2600,"12-2020
",6169,-32.31177,115.74693,SOUTH COAST BAPTIST COLLEGE,1.071249861246405,
1 Sweeney Way,Padbury,579000,4,1,1,697,106,1972,19600,Whitfords Station,2600,"09-2017
",6025,-31.79957,115.75498,ST MARK'S ANGLICAN COMMUNITY SCHOOL,1.1508638381231906,58
1 Talisker Mews,Ballajura,420000,5,2,2,585,187,1994,12900,Bayswater Station,8000,"07-2018
",6066,-31.84665,115.91469,BALLAJURA COMMUNITY COLLEGE,2.0194878761795336,133
1 Tall Karri Close,Camillo,370000,4,2,3,695,135,1993,22800,Kelmscott Station,941,"02-2016
",6111,-32.11623105,116.0039761,KELMSCOTT SENIOR HIGH SCHOOL,0.8859419954907526,113
1 Tattler Place,Huntingdale,323000,3,1,2,754,139,1990,17900,Seaforth Station,4100,"07-2019
",6110,-32.08391766,115.968026,SOUTHERN RIVER COLLEGE,1.1361827373150335,121
1 Taylor Street,White Gum Valley,845000,5,2,2,519,171,1910,14600,Fremantle Station,2900,"01-2016
",6162,-32.06176,115.77392,FREMANTLE COLLEGE,0.8839941621762997,128
1 Teetree Court,Beechboro,500000,5,2,2,706,164,1990,11300,Ashfield Station,5300,"12-2017
",6063,-31.8662,115.92272,KIARA COLLEGE,1.7126578548657636,
1 Temple Mews,Iluka,928250,4,3,2,822,257,2010,26600,Currambine Station,2600,"09-2016
",6028,-31.74,115.72891,PRENDIVILLE CATHOLIC COLLEGE,1.9251252257536913,60
1 Tenella Mews,Warnbro,300000,4,2,2,532,140,1993,44200,Warnbro Station,1600,"06-2019
",6169,-32.34082,115.76518,WARNBRO COMMUNITY HIGH SCHOOL,0.7783907259369569,
1 Tennyson Street,Bellevue,400000,3,1,1,934,124,1950,17500,Midland Station,3100,"01-2016
",6056,-31.89756,116.03252,SWAN VIEW SENIOR HIGH SCHOOL,1.5817453595738122,
1 Tetbury Road,Butler,500000,4,2,2,535,150,2003,36200,Butler Station,2100,"12-2020
",6036,-31.65352168,115.7064859,IRENE MCCORMACK CATHOLIC COLLEGE,0.286937682273597,120
1 The Mead,Kiara,450000,4,2,4,535,150,1994,10900,Ashfield Station,3700,"09-2009
",6054,-31.87955,115.93667,KIARA COLLEGE,0.27673246685947334,
1 The Mews,Kardinya,730000,4,2,2,700,187,1994,12500,Murdoch Station,2800,"08-2017
",6163,-32.06032,115.82225,KENNEDY BAPTIST COLLEGE,1.608917800317356,12
1 Thomas Hamilton Avenue,Mirrabooka,450000,4,2,NULL,516,204,2001,9400,Mount Lawley Station,7600,"07-2020
",6061,-31.86795,115.86599,ST ANDREW'S GRAMMAR,0.8467373080506415,
1 Thorman Place,Booragoon,905000,4,2,2,829,215,2012,9100,Bull Creek Station,1900,"09-2019
",6154,-32.03310283,115.8419184,APPLECROSS SENIOR HIGH SCHOOL,0.7657905863572948,34
1 Thornbill Loop,Beeliar,429000,4,2,1,435,118,1996,20000,Cockburn Central Station,3300,"03-2017
",6164,-32.12948,115.82358,DIVINE MERCY COLLEGE,0.5538227845173325,
1 Thurlow Avenue,Yokine,525000,3,1,NULL,386,117,1957,5700,Glendalough Station,3400,"10-2020
",6060,-31.9010744,115.8557645,CARMEL SCHOOL,0.6347913316940405,13
1 Till Street,Herne Hill,370000,3,1,1,808,100,1970,20900,Midland Station,7600,"06-2014
",6056,-31.82556,116.02173,SWAN CHRISTIAN COLLEGE,3.762411964593397,93
1 Tintern Road,Ashby,465000,3,2,2,298,128,2006,24700,Joondalup Station,3300,"04-2015
",6065,-31.73707065,115.8001464,WANNEROO SECONDARY COLLEGE,2.713893578773914,131
1 Tippett Court,Willetton,680000,4,2,2,686,193,1992,12600,Murdoch Station,4400,"10-2019
",6155,-32.06054,115.89665,ONESCHOOL GLOBAL WA,0.6527809344187114,
1 Tiwi Court,Iluka,826000,4,2,2,688,257,2000,27400,Currambine Station,1800,"12-2018
",6028,-31.73075,115.73307,PRENDIVILLE CATHOLIC COLLEGE,2.7346606780861684,60
1 Tolbury Retreat,Kiara,420000,4,2,4,653,143,1994,11100,Bassendean Station,2400,"07-2018
",6054,-31.88237,115.94231,KIARA COLLEGE,0.8736813843124758,
1 Torre Link,Darch,560000,4,2,4,518,218,2010,15100,Greenwood Station,6500,"02-2017
",6065,-31.816573,115.851355,ASHDALE SECONDARY COLLEGE,1.082445552370362,75
1 Torridon Loop,Wanneroo,725000,4,2,2,740,243,1997,20200,Edgewater Station,2800,"06-2018
",6065,-31.77572,115.8076,ALTA-1,1.20177668185776,
1 Treaty Oak Cove,Bibra Lake,600000,4,2,2,830,300,1995,16000,Murdoch Station,4400,"01-2019
",6163,-32.09059,115.81411,PERTH WALDORF SCHOOL,0.37882347923254983,
1 Treave Street,Cloverdale,450000,3,2,2,311,134,2003,8000,Queens Park Station,4100,"07-2017
",6105,-31.97036143,115.940989,AUSTRALIAN ISLAMIC COLLEGE - KEWDALE,1.3358834215117645,102
1 Triller Road,Bennett Springs,515000,4,2,2,515,164,2009,12400,Ashfield Station,6200,"08-2015
",6063,-31.85787729,115.9286816,KIARA COLLEGE,2.2598647742147193,
1 Trilogy Court,The Vines,1030000,4,3,4,1545,458,2001,24300,Woodbridge Station,14000,"04-2019
",6069,-31.76598,115.99372,HOLY CROSS COLLEGE,2.040514571775189,98
1 Trona Place,Forrestfield,395000,4,2,2,572,158,1994,13000,Madding,6800,"09-2018
",6058,-31.98870201,115.9899781,DARLING RANGE SPORTS COLLEGE,2.4465347731708103,137
1 Tropicana Way,Safety Bay,753000,5,3,4,856,375,1994,41700,Rockingham Station,3400,"07-2019
",6169,-32.31132,115.73453,SAFETY BAY SENIOR HIGH SCHOOL,1.0790796814350994,136
1 Troy Avenue,Marmion,1600000,4,2,2,899,277,1979,15800,Warwick Station,4200,"07-2011
",6020,-31.84345,115.75221,SACRED HEART COLLEGE,1.8661169190209312,19
1 Tucker Street,Medina,270000,4,1,4,931,106,1969,31600,Kwinana Station,4100,"08-2015
",6167,-32.2316,115.79954,GILMORE COLLEGE,1.616151409765193,138
1 Tuckeroo Parade,Helena Valley,785000,4,2,2,983,249,NULL,16400,Midland Station,3400,"01-2015
",6056,-31.9138053,116.0261016,YOUTH FUTURES COMMUNITY SCHOOL,3.0164589933672046,
1 Tullow Road,Floreat,1575000,5,3,3,971,219,1972,7500,Claremont Station,4900,"09-2020
",6014,-31.93726426,115.7814837,NEWMAN COLLEGE,1.6600927045969547,44
1 Turner Parkway,Carramar,479100,4,3,2,624,193,2006,27500,Currambine Station,4700,"04-2019
",6031,-31.71046806,115.7975779,JOSEPH BANKS SECONDARY COLLEGE,1.3151576897514798,92
1 Turner Street,Warnbro,310000,3,1,1,872,138,1980,43800,Warnbro Station,2000,"11-2019
",6169,-32.33464,115.74926,LIVING WATERS LUTHERAN COLLEGE,1.0562147659747265,51
1 TWIN VIEW,Swan View,595000,4,2,4,869,324,2001,20200,Midland Station,5200,"11-2018
",6056,-31.87482,116.05267,SWAN VIEW SENIOR HIGH SCHOOL,1.6133082700318606,
1 Umina Street,High Wycombe,296000,2,1,2,764,84,1971,14200,Midland Station,5300,"04-2018
",6057,-31.93901263,116.0088239,DARLING RANGE SPORTS COLLEGE,4.080875846409961,137
1 Valencia Avenue,Churchlands,935000,3,2,2,497,214,1999,8000,Glendalough Station,3600,"11-2015
",6018,-31.91611563,115.7854829,CHURCHLANDS SENIOR HIGH SCHOOL,0.44513746206641946,22
1 Valencia Road,Carmel,670000,4,2,3,3104,198,1973,23600,Madding,11100,"11-2009
",6076,-32.01964,116.09531,CARMEL ADVENTIST COLLEGE,0.5590733639113845,
1 Valley Close,Canning Vale,1200000,5,2,6,10000,290,1988,15400,Murdoch Station,5400,"10-2019
",6155,-32.08516,115.90319,CANNING VALE COLLEGE,1.863313138951007,68
1 Vantage Way,Burswood,1585000,4,2,NULL,301,233,2015,3700,Burswood Station,313,"12-2015
",6100,-31.95795076,115.8974433,TRINITY COLLEGE,1.4238511118517383,43
1 Veldt Mews,Mirrabooka,370000,3,1,1,677,95,1990,11200,Warwick Station,6900,"08-2016
",6061,-31.85177,115.86838,MERCY COLLEGE,1.1396600138113961,46
1 Venetian Way,Baldivis,435000,4,2,2,526,224,2014,40600,Wellard Station,5700,"09-2020
",6171,-32.3154684,115.8168636,BALDIVIS SECONDARY COLLEGE,2.3396144294758545,134
1 Verve Court,Marmion,1255000,5,3,2,459,192,2011,15800,Warwick Station,4100,"08-2017
",6020,-31.84166857,115.7533065,SACRED HEART COLLEGE,1.7129254382916923,19
1 Vilamour Close,Currambine,582000,4,2,2,773,228,1991,25900,Currambine Station,1800,"07-2017
",6028,-31.74087,115.74556,LAKE JOONDALUP BAPTIST COLLEGE,1.54713303493994,80
1 Viola Place,Beechboro,485000,4,2,4,500,160,1997,11100,Ashfield Station,5100,"02-2019
",6063,-31.86855,115.9236,KIARA COLLEGE,1.469640840506995,
1 Violet Street,Middle Swan,410000,3,1,1,830,130,1970,16300,Midland Station,1600,"07-2014
",6056,-31.87861,116.00864,LA SALLE COLLEGE,0.3994665079149024,53
1 Virgilia Terrace,South Lake,565000,4,2,3,708,181,1989,16900,Cockburn Central Station,2500,"10-2017
",6164,-32.10389,115.84902,LAKELAND SENIOR HIGH SCHOOL,0.6447688800176169,
1 Voyager Link,Pearsall,449000,3,3,2,318,250,2011,18900,Whitfords Station,4400,"10-2016
",6065,-31.78514118,115.8253031,ALTA-1,1.1339735841748075,
1 Wake Court,Redcliffe,390000,3,1,2,416,126,1994,8300,Ashfield Station,3200,"11-2016
",6104,-31.94074,115.94536,BELMONT CITY COLLEGE,2.267053691441043,57
1 Wallace Street,Mundijong,640000,4,2,NULL,1999,206,2000,39700,Armadale Station,15800,"05-2017
",6123,-32.29332,115.98001,COURT GRAMMAR SCHOOL,2.8372635366680816,
1 Wambiri Close,South Lake,510000,4,2,2,517,177,2005,17900,Cockburn Central Station,2100,"03-2016
",6164,-32.11270143,115.8414863,LAKELAND SENIOR HIGH SCHOOL,0.5817935628642769,
1 Warlu Place,High Wycombe,315000,4,2,2,620,141,2002,13500,Midland Station,4800,"12-2018
",6057,-31.93469,116.00074,DARLING RANGE SPORTS COLLEGE,4.656154348388348,137
1 Warnt Court,South Guildford,430000,4,2,2,742,154,1998,12800,East Guildford Station,2300,"02-2017
",6055,-31.91635,115.98744,GUILDFORD GRAMMAR SCHOOL,2.5366672181024925,52
1 Waterway Crescent,Ascot,1250000,4,2,3,556,322,2001,5800,Bayswater Station,2200,"02-2016
",6104,-31.93687,115.91779,BELMONT CITY COLLEGE,2.9099035276456857,57
1 Wattle Court,Mahogany Creek,740000,4,2,2,2001,212,1997,27100,Midland Station,13100,"07-2014
",6072,-31.90238,116.1394,MUNDARING CHRISTIAN COLLEGE,3.8810211159930983,
1 Waugh Court,North Lake,1150000,5,2,4,855,416,NULL,14400,Murdoch Station,3200,"09-2013
",6163,-32.077,115.81942,NORTH LAKE SENIOR CAMPUS,0.6615449223729546,
1 Wayford Circle,Hocking,595000,4,2,2,622,241,2004,20800,Edgewater Station,3300,"11-2016
",6065,-31.76976,115.81382,WANNEROO SECONDARY COLLEGE,1.3276109414076789,131
1 Webb Street,Rossmoyne,670000,3,1,NULL,531,115,1967,10000,Bull Creek Station,1300,"02-2015
",6148,-32.0421094,115.8669182,ROSSMOYNE SENIOR HIGH SCHOOL,0.5749748353860907,16
1 Weema Court,Swan View,560000,6,3,2,1068,302,1990,18700,Midland Station,4000,"02-2020
",6056,-31.89084,116.04309,SWAN VIEW SENIOR HIGH SCHOOL,0.39179262920216595,
1 Weetman Cove,Cannington,402600,3,2,2,281,120,1998,9000,Queens Park Station,733,"07-2016
",6107,-32.00447,115.9314,ST NORBERT COLLEGE,0.8437413904934831,42
1 Wendo Court,Hillman,345000,4,1,1,693,101,1986,38200,Rockingham Station,555,"10-2013
",6168,-32.28523,115.76052,KOLBE CATHOLIC COLLEGE,0.8490425628350073,97
1 Wenstead Place,Stratton,357000,4,3,1,686,103,1993,19500,Midland Station,4500,"10-2015
",6056,-31.86627,116.03828,SWAN VIEW SENIOR HIGH SCHOOL,2.427462168092539,
1 Werri Place,Clarkson,378000,3,2,2,344,151,2006,31300,Clarkson Station,755,"07-2020
",6030,-31.69303,115.73056,YOUTH FUTURES COMMUNITY SCHOOL,1.0361006231232044,
1 Wescap Rise,Merriwa,300000,4,1,1,684,121,1989,34200,Clarkson Station,3300,"09-2018
",6030,-31.67151,115.71105,QUINNS BAPTIST COLLEGE,0.5263353275872161,118
1 Whelk Place,Mullaloo,775000,3,2,3,706,244,1995,22400,Edgewater Station,3300,"11-2020
",6027,-31.77578,115.74413,BELRIDGE SECONDARY COLLEGE,1.8983783649352688,102
1 White Place,Subiaco,753000,3,2,NULL,261,118,1988,2500,West Leederville Station,119,"10-2020
",6008,-31.94306086,115.8343902,PERTH MODERN SCHOOL,0.2925380375866991,1
1 White Street,North Fremantle,785000,3,1,1,329,137,1920,13400,North Fremantle Station,308,"08-2020
",6159,-32.032201,115.7534563,JOHN CURTIN COLLEGE OF THE ARTS,1.8462384186021852,25
1 Whitehouse Drive,Koondoola,475000,3,1,1,998,87,NULL,11900,Warwick Station,6100,"09-2013
",6064,-31.84546,115.86126,MERCY COLLEGE,0.4028410863441247,46
1 Wildwood Mews,Carramar,539000,4,2,NULL,586,228,2015,29800,Clarkson Station,5100,"08-2020
",6031,-31.69045846,115.7891053,JOSEPH BANKS SECONDARY COLLEGE,1.1562851884872294,92
1 Willard Circuit,Banksia Grove,385000,3,2,2,313,142,2012,29500,Clarkson Station,6300,"08-2017
",6031,-31.69154391,115.8043633,JOSEPH BANKS SECONDARY COLLEGE,1.0816917652901608,92
1 Williams Court,Melville,1200000,5,2,1,513,237,1961,11000,Bull Creek Station,4900,"01-2019
",6156,-32.03883414,115.802797,MELVILLE SENIOR HIGH SCHOOL,0.868786646012203,61
1 Williamson Way,Trigg,840000,4,3,2,442,159,1960,13200,Warwick Station,4200,"02-2015
",6029,-31.86704956,115.7609603,ST MARY'S ANGLICAN GIRLS' SCHOOL,1.2111861236165145,7
1 Willow Way,Gooseberry Hill,650000,4,2,8,957,220,1977,16500,Midland Station,7900,"04-2015
",6076,-31.95625,116.03402,HILLSIDE CHRISTIAN COLLEGE,3.0539230676594196,
